NumElementsPerDir,PolyOrder,NumEquations,Solver,NumSolverThreads,AssemblyTime_s,RealUsedThreadsAssembly,SolveTime_s,RealUsedThreadsSolve,SpeedUP
1000,3,9006001,Pardiso,1,244.241,1,66.2594,1,1
1000,3,9006001,Pardiso,6,244.241,6,1.99689,6,33.1814
1000,3,9006001,Pardiso,12,244.241,12,2.05042,12,32.3151
1000,3,9006001,Pardiso,18,244.241,18,2.09749,18,31.5898
1000,3,9006001,Pardiso,24,244.241,24,2.19212,24,30.2262
1000,3,9006001,MUMPS,1,243.91,1,86.9866,1,1
1000,3,9006001,MUMPS,6,243.91,6,1.79677,6,48.4128
1000,3,9006001,MUMPS,12,243.91,12,1.83727,12,47.3455
1000,3,9006001,MUMPS,18,243.91,18,1.88016,18,46.2655
1000,3,9006001,MUMPS,24,243.91,24,2.17072,24,40.0726
